Server_ID,Data_Center,Purchase_Date,Decommission_Date,OS,RAM_GB,CPU_Cores,Storage_GB,Availability,Failure_Rate
SRV-1,New York,2015-02-12,2018-12-25,Ubuntu,67,44,4205,93.22,0.02
SRV-2,Atlanta,2017-08-26,2023-02-24,CentOS,241,20,4361,52.79,0.88
SRV-3,Atlanta,2021-10-04,2028-09-25,Ubuntu,255,6,3563,86.29,4.94
SRV-4,Chicago,2017-12-09,2024-03-04,Red Hat,181,61,4189,58.66,1.05
SRV-5,New York,2015-07-10,2021-09-12,Red Hat,61,22,1912,60.19,1.52
SRV-6,San Francisco,2015-05-25,2021-07-07,Ubuntu,132,50,1985,86.94,3.42
SRV-7,Dallas,2016-05-22,2019-06-30,Linux,67,18,4946,85.48,3.21
SRV-8,San Francisco,2016-10-13,2022-08-16,Windows Server,205,27,522,95.52,0.23
SRV-9,Dallas,2018-01-05,2021-08-10,Linux,62,47,4446,56.86,4.27
SRV-10,Chicago,2021-03-20,2027-12-01,Linux,84,44,4250,57.36,3.19
SRV-11,Atlanta,2019-05-15,2026-05-03,Windows Server,252,25,4684,93.31,1.11
SRV-12,New York,2020-12-28,2027-03-23,Linux,237,25,4195,69.2,1.39
SRV-13,New York,2016-10-17,2020-02-17,Red Hat,190,37,4668,69.68,3.75
SRV-14,New York,2021-10-15,2026-04-05,Windows Server,83,12,3424,88.19,2.33
SRV-15,Chicago,2018-03-04,2023-02-21,CentOS,132,4,4304,83.25,4.13
SRV-16,Chicago,2015-04-09,2018-05-30,Ubuntu,141,24,1051,55.71,3.09
SRV-17,San Francisco,2018-02-07,2021-04-14,CentOS,212,16,4362,60.95,3.93
SRV-18,Dallas,2019-07-26,2022-08-08,CentOS,102,56,2759,75.9,3.68
SRV-19,Atlanta,2016-01-29,2020-12-09,Windows Server,221,55,3198,54.28,0.17
SRV-20,San Francisco,2019-05-31,2022-12-19,Red Hat,184,7,4547,66.2,0.14
SRV-21,New York,2015-03-11,2019-06-15,Windows Server,71,51,2024,60.39,0.37
SRV-22,Chicago,2018-03-23,2023-04-05,Windows Server,22,38,1609,78.19,3.24
SRV-23,New York,2017-03-25,2023-12-01,CentOS,151,39,3435,90.95,0.53
SRV-24,Chicago,2020-05-09,2023-11-28,Red Hat,157,39,1472,57.43,1.73
SRV-25,San Francisco,2018-09-02,2022-06-30,Windows Server,23,44,531,54.43,0.34
SRV-26,San Francisco,2020-03-10,2025-04-17,Linux,191,64,2475,93.9,0.15
SRV-27,Atlanta,2016-11-06,2022-03-12,Windows Server,35,61,2029,66.91,3.39
SRV-28,Atlanta,2021-02-19,2024-08-20,Red Hat,178,39,1540,97.8,4.47
SRV-29,Atlanta,2017-12-09,2021-12-28,Ubuntu,105,55,2290,94.81,0.83
SRV-30,New York,2019-05-26,2026-02-07,Linux,55,25,1826,55.77,4.78
SRV-31,Chicago,2021-11-15,2027-12-07,Ubuntu,226,18,835,78.27,0.86
SRV-32,Dallas,2015-08-19,2020-04-19,Linux,243,26,3713,79.96,1.92
SRV-33,Dallas,2015-10-15,2019-11-30,Red Hat,16,55,4898,79.05,3.1
SRV-34,New York,2017-03-20,2021-03-01,Ubuntu,232,6,3807,88.73,1.34
SRV-35,New York,2020-04-09,2023-07-31,Red Hat,122,45,2540,98.0,0.16
SRV-36,New York,2016-10-12,2023-03-31,Red Hat,132,41,3845,66.53,1.07
SRV-37,Dallas,2015-10-24,2020-09-26,CentOS,180,17,2996,53.38,3.16
SRV-38,Chicago,2020-09-30,2027-06-08,Linux,22,36,3714,68.43,2.85
SRV-39,San Francisco,2019-08-03,2025-04-21,Windows Server,66,32,2171,68.09,0.81
